order_id,customer_id,restaurant_name,cuisine_type,order_date,location,cost_of_the_order,rating,food_preparation_time,delivery_time,day_type,total_delivery_time
FD10105,C1105,Spice Hub,Indian,2025-01-05,Mumbai,887.7,4.3,14,47,Weekend,61
FD10626,C1276,Pizza Point,Italian,2025-01-05,Bangalore,399.6,4.7,25,33,Weekend,58
FD10664,C1314,Cafe Aroma,Cafe,2025-01-05,Bangalore,665.91,4.2,31,30,Weekend,61
FD10913,C1213,Spice Hub,Indian,2025-01-06,Bangalore,1140.5,4.0,12,34,Weekday,46
FD10803,C1103,Green Bowl,Healthy,2025-01-06,Mumbai,324.59,3.1,35,31,Weekday,66
FD10624,C1274,The Biryani House,Biryani,2025-01-06,Pune,568.71,3.4,11,35,Weekday,46
FD10016,C1016,Burger Town,Fast Food,2025-01-06,Chennai,622.78,4.7,26,28,Weekday,54
FD10996,C1296,Cafe Aroma,Cafe,2025-01-06,Pune,586.17,4.2,28,38,Weekday,66
FD10691,C1341,Spice Hub,Indian,2025-01-06,Pune,260.51,3.9,23,47,Weekday,70
FD10928,C1228,Spice Hub,Indian,2025-01-07,Pune,344.84,3.8,22,48,Weekday,70
FD10520,C1170,Green Bowl,Healthy,2025-01-07,Mumbai,583.75,3.7,19,25,Weekday,44
FD10350,C1350,Wok & Roll,Chinese,2025-01-07,Pune,429.34,3.7,33,21,Weekday,54
FD10352,C1002,Food Junction,Indian,2025-01-07,Chennai,773.13,3.7,15,33,Weekday,48
FD10767,C1067,Wok & Roll,Chinese,2025-01-07,Pune,651.79,3.9,17,19,Weekday,36
FD10710,C1010,Pizza Point,Italian,2025-01-07,Mumbai,966.41,4.1,24,38,Weekday,62
FD10310,C1310,Wok & Roll,Chinese,2025-01-08,Chennai,401.05,5.0,14,33,Weekday,47
FD10496,C1146,Cafe Aroma,Cafe,2025-01-08,Delhi,1200.0,4.1,18,33,Weekday,51
FD10826,C1126,Food Junction,Indian,2025-01-08,Bangalore,301.19,4.4,25,40,Weekday,65
FD10336,C1336,Urban Tadka,Indian,2025-01-08,Delhi,625.74,3.4,25,33,Weekday,58
FD10919,C1219,Punjabi Zaika,North Indian,2025-01-08,Mumbai,892.81,4.9,22,28,Weekday,50
FD10326,C1326,Punjabi Zaika,North Indian,2025-01-08,Bangalore,313.04,3.6,17,34,Weekday,51
FD10661,C1311,Urban Tadka,Indian,2025-01-09,Mumbai,837.08,4.3,32,37,Weekday,69
FD10912,C1212,Food Junction,Indian,2025-01-09,Delhi,1200.0,4.5,10,31,Weekday,41
FD10390,C1040,Burger Town,Fast Food,2025-01-09,Chennai,625.77,4.1,35,38,Weekday,73
FD10630,C1280,Punjabi Zaika,North Indian,2025-01-09,Mumbai,563.34,4.9,13,27,Weekday,40
FD10072,C1072,The Biryani House,Biryani,2025-01-09,Chennai,708.02,3.7,11,54,Weekday,65
FD10846,C1146,Food Junction,Indian,2025-01-09,Pune,403.13,5.0,26,18,Weekday,44
FD10155,C1155,Spice Hub,Indian,2025-01-10,Pune,303.38,4.4,10,39,Weekday,49
FD10057,C1057,Punjabi Zaika,North Indian,2025-01-10,Mumbai,265.21,4.8,19,20,Weekday,39
FD10316,C1316,The Biryani House,Biryani,2025-01-10,Pune,541.63,4.3,31,21,Weekday,52
FD10571,C1221,Food Junction,Indian,2025-01-10,Bangalore,1077.11,3.7,16,47,Weekday,63
FD10510,C1160,Pizza Point,Italian,2025-01-10,Pune,435.38,3.7,24,43,Weekday,67
FD10447,C1097,Sweet Treats,Desserts,2025-01-11,Delhi,232.07,4.7,20,33,Weekend,53
FD10098,C1098,Sweet Treats,Desserts,2025-01-11,Bangalore,678.71,4.0,17,16,Weekend,33
FD10367,C1017,Cafe Aroma,Cafe,2025-01-11,Pune,737.59,4.8,27,32,Weekend,59
FD10604,C1254,Cafe Aroma,Cafe,2025-01-11,Pune,410.11,3.8,22,15,Weekend,37
FD10865,C1165,Burger Town,Fast Food,2025-01-11,Mumbai,324.8,4.2,23,16,Weekend,39
FD10220,C1220,Spice Hub,Indian,2025-01-11,Pune,642.59,4.5,11,22,Weekend,33
FD10187,C1187,Wok & Roll,Chinese,2025-01-11,Delhi,784.67,4.9,29,19,Weekend,48
FD10652,C1302,Green Bowl,Healthy,2025-01-11,Bangalore,400.85,3.8,24,29,Weekend,53
FD10445,C1095,Burger Town,Fast Food,2025-01-11,Bangalore,700.57,4.1,16,26,Weekend,42
FD10871,C1171,Burger Town,Fast Food,2025-01-11,Bangalore,779.72,4.9,12,31,Weekend,43
FD10943,C1243,Urban Tadka,Indian,2025-01-12,Bangalore,516.42,4.4,17,20,Weekend,37
FD10941,C1241,Urban Tadka,Indian,2025-01-12,Hyderabad,644.16,4.7,17,30,Weekend,47
FD10482,C1132,Cafe Aroma,Cafe,2025-01-12,Pune,453.63,3.9,31,34,Weekend,65
FD10492,C1142,Sweet Treats,Desserts,2025-01-12,Pune,623.08,4.7,20,19,Weekend,39
FD10728,C1028,Green Bowl,Healthy,2025-01-12,Hyderabad,519.47,4.9,21,33,Weekend,54
FD10426,C1076,Food Junction,Indian,2025-01-12,Chennai,191.11,4.2,16,17,Weekend,33
FD10816,C1116,Sweet Treats,Desserts,2025-01-12,Chennai,670.47,3.9,34,23,Weekend,57
FD10502,C1152,Pizza Point,Italian,2025-01-12,Pune,523.78,4.2,26,23,Weekend,49
FD10753,C1053,Spice Hub,Indian,2025-01-12,Pune,372.22,4.1,25,25,Weekend,50
FD10559,C1209,Green Bowl,Healthy,2025-01-13,Pune,871.69,3.9,25,28,Weekday,53
FD10643,C1293,Sweet Treats,Desserts,2025-01-13,Bangalore,370.72,3.9,13,44,Weekday,57
FD10701,C1001,Pizza Point,Italian,2025-01-13,Mumbai,871.59,4.1,16,39,Weekday,55
FD10063,C1063,Sweet Treats,Desserts,2025-01-13,Hyderabad,452.3,3.8,34,23,Weekday,57
FD10730,C1030,Cafe Aroma,Cafe,2025-01-13,Mumbai,698.47,4.1,19,32,Weekday,51
FD10532,C1182,Wok & Roll,Chinese,2025-01-14,Pune,576.58,3.8,25,26,Weekday,51
FD10517,C1167,Food Junction,Indian,2025-01-14,Mumbai,611.36,4.0,25,25,Weekday,50
FD10120,C1120,Green Bowl,Healthy,2025-01-14,Bangalore,731.14,3.5,17,15,Weekday,32
FD10761,C1061,Pizza Point,Italian,2025-01-14,Chennai,258.3,4.1,25,31,Weekday,56
FD10389,C1039,Burger Town,Fast Food,2025-01-14,Pune,565.7,4.1,12,45,Weekday,57
FD10100,C1100,Spice Hub,Indian,2025-01-14,Pune,1085.74,4.4,33,30,Weekday,63
FD10940,C1240,Burger Town,Fast Food,2025-01-14,Pune,520.53,3.7,28,33,Weekday,61
FD10784,C1084,Spice Hub,Indian,2025-01-15,Hyderabad,393.17,4.5,11,20,Weekday,31
FD10142,C1142,Urban Tadka,Indian,2025-01-15,Chennai,317.89,3.8,29,23,Weekday,52
FD10841,C1141,South Express,South Indian,2025-01-15,Hyderabad,203.15,3.6,23,39,Weekday,62
FD10167,C1167,Sweet Treats,Desserts,2025-01-15,Chennai,320.54,3.9,15,40,Weekday,55
FD10810,C1110,Urban Tadka,Indian,2025-01-15,Delhi,1072.49,3.7,13,42,Weekday,55
FD10818,C1118,South Express,South Indian,2025-01-15,Hyderabad,268.61,4.4,22,15,Weekday,37
FD10544,C1194,Sweet Treats,Desserts,2025-01-15,Pune,645.08,4.4,26,37,Weekday,63
FD10551,C1201,Sweet Treats,Desserts,2025-01-16,Mumbai,445.17,4.4,20,15,Weekday,35
FD10511,C1161,South Express,South Indian,2025-01-16,Pune,803.28,3.9,29,29,Weekday,58
FD10569,C1219,Green Bowl,Healthy,2025-01-16,Chennai,1200.0,3.6,22,25,Weekday,47
FD10255,C1255,Wok & Roll,Chinese,2025-01-17,Mumbai,412.62,4.4,30,37,Weekday,67
FD10843,C1143,Sweet Treats,Desserts,2025-01-17,Hyderabad,644.66,4.1,23,39,Weekday,62
FD10467,C1117,Green Bowl,Healthy,2025-01-17,Delhi,533.78,4.3,29,22,Weekday,51
FD10487,C1137,South Express,South Indian,2025-01-17,Hyderabad,1146.6,3.4,10,17,Weekday,27
FD10734,C1034,Pizza Point,Italian,2025-01-17,Mumbai,576.21,4.3,26,37,Weekday,63
FD10411,C1061,Punjabi Zaika,North Indian,2025-01-17,Mumbai,656.91,5.0,17,26,Weekday,43
FD10071,C1071,Burger Town,Fast Food,2025-01-17,Bangalore,511.17,4.7,20,26,Weekday,46
FD10531,C1181,Sweet Treats,Desserts,2025-01-17,Pune,732.35,3.9,29,52,Weekday,81
FD10752,C1052,Punjabi Zaika,North Indian,2025-01-17,Pune,628.94,3.7,31,29,Weekday,60
FD10561,C1211,Green Bowl,Healthy,2025-01-18,Bangalore,592.31,4.0,34,25,Weekend,59
FD10858,C1158,South Express,South Indian,2025-01-18,Mumbai,840.52,5.0,24,30,Weekend,54
FD10817,C1117,Burger Town,Fast Food,2025-01-18,Pune,583.48,4.2,10,30,Weekend,40
FD10298,C1298,Punjabi Zaika,North Indian,2025-01-18,Pune,857.47,4.4,30,16,Weekend,46
FD10297,C1297,South Express,South Indian,2025-01-19,Pune,434.11,4.8,35,24,Weekend,59
FD10038,C1038,Sweet Treats,Desserts,2025-01-19,Hyderabad,362.87,4.3,26,20,Weekend,46
FD10483,C1133,Punjabi Zaika,North Indian,2025-01-19,Bangalore,304.39,4.6,33,25,Weekend,58
FD10632,C1282,Pizza Point,Italian,2025-01-20,Chennai,535.85,3.6,28,52,Weekday,80
FD10371,C1021,Pizza Point,Italian,2025-01-20,Pune,541.05,5.0,34,38,Weekday,72
FD10982,C1282,Punjabi Zaika,North Indian,2025-01-20,Pune,444.47,3.3,31,39,Weekday,70
FD10039,C1039,Urban Tadka,Indian,2025-01-20,Bangalore,549.02,4.7,16,27,Weekday,43
FD10799,C1099,South Express,South Indian,2025-01-21,Delhi,581.89,3.9,27,24,Weekday,51
FD10857,C1157,Sweet Treats,Desserts,2025-01-21,Bangalore,955.07,4.7,23,32,Weekday,55
FD10758,C1058,Cafe Aroma,Cafe,2025-01-22,Bangalore,669.18,5.0,27,28,Weekday,55
FD10394,C1044,Food Junction,Indian,2025-01-22,Chennai,1025.81,4.3,33,28,Weekday,61
FD10933,C1233,Green Bowl,Healthy,2025-01-22,Bangalore,351.92,3.9,31,19,Weekday,50
FD10748,C1048,The Biryani House,Biryani,2025-01-22,Pune,856.15,4.2,31,26,Weekday,57
FD10794,C1094,Pizza Point,Italian,2025-01-22,Pune,444.31,4.1,30,31,Weekday,61
FD10715,C1015,Punjabi Zaika,North Indian,2025-01-23,Mumbai,329.15,4.0,19,40,Weekday,59
FD10126,C1126,Sweet Treats,Desserts,2025-01-23,Pune,393.44,3.5,33,31,Weekday,64
FD10192,C1192,South Express,South Indian,2025-01-23,Delhi,383.51,4.7,33,19,Weekday,52
FD10381,C1031,Spice Hub,Indian,2025-01-24,Mumbai,486.65,4.6,24,27,Weekday,51
FD10835,C1135,South Express,South Indian,2025-01-24,Delhi,545.38,4.6,15,26,Weekday,41
FD10976,C1276,Burger Town,Fast Food,2025-01-24,Pune,591.54,4.5,19,43,Weekday,62
FD10815,C1115,Food Junction,Indian,2025-01-24,Hyderabad,490.08,4.5,33,25,Weekday,58
FD10663,C1313,Spice Hub,Indian,2025-01-25,Hyderabad,462.7,3.6,14,22,Weekend,36
FD10473,C1123,South Express,South Indian,2025-01-25,Mumbai,504.17,3.6,20,19,Weekend,39
FD10247,C1247,The Biryani House,Biryani,2025-01-25,Chennai,427.78,4.0,26,31,Weekend,57
FD10392,C1042,Cafe Aroma,Cafe,2025-01-25,Delhi,738.48,4.1,21,30,Weekend,51
FD10500,C1150,Spice Hub,Indian,2025-01-25,Hyderabad,909.75,3.6,10,27,Weekend,37
FD10814,C1114,Burger Town,Fast Food,2025-01-25,Bangalore,1136.21,4.4,13,15,Weekend,28
FD10261,C1261,The Biryani House,Biryani,2025-01-25,Hyderabad,715.14,4.1,17,34,Weekend,51
FD10945,C1245,Wok & Roll,Chinese,2025-01-25,Delhi,632.19,3.6,35,44,Weekend,79
FD10777,C1077,Pizza Point,Italian,2025-01-26,Bangalore,596.13,3.4,16,26,Weekend,42
FD10182,C1182,Punjabi Zaika,North Indian,2025-01-26,Mumbai,901.32,4.8,33,34,Weekend,67
FD10507,C1157,South Express,South Indian,2025-01-26,Pune,393.83,4.4,28,43,Weekend,71
FD10514,C1164,Cafe Aroma,Cafe,2025-01-26,Hyderabad,752.11,4.1,11,20,Weekend,31
FD10029,C1029,Green Bowl,Healthy,2025-01-26,Pune,592.2,3.7,16,23,Weekend,39
FD10442,C1092,Sweet Treats,Desserts,2025-01-26,Bangalore,799.67,2.5,27,20,Weekend,47
FD10420,C1070,Burger Town,Fast Food,2025-01-27,Bangalore,512.9,4.8,31,30,Weekday,61
FD10819,C1119,Green Bowl,Healthy,2025-01-27,Pune,521.22,4.3,13,42,Weekday,55
FD10184,C1184,Spice Hub,Indian,2025-01-27,Chennai,535.01,5.0,19,21,Weekday,40
FD10828,C1128,Spice Hub,Indian,2025-01-27,Chennai,1200.0,3.9,13,21,Weekday,34
FD10795,C1095,Pizza Point,Italian,2025-01-27,Pune,704.93,3.5,19,24,Weekday,43
FD10676,C1326,South Express,South Indian,2025-01-28,Pune,749.96,4.3,19,23,Weekday,42
FD10217,C1217,Pizza Point,Italian,2025-01-29,Mumbai,381.46,3.3,10,22,Weekday,32
FD10266,C1266,The Biryani House,Biryani,2025-01-29,Pune,284.66,4.6,26,20,Weekday,46
FD10361,C1011,Urban Tadka,Indian,2025-01-29,Chennai,855.76,4.2,24,23,Weekday,47
FD10779,C1079,Punjabi Zaika,North Indian,2025-01-29,Pune,595.99,4.0,10,28,Weekday,38
FD10443,C1093,Pizza Point,Italian,2025-01-29,Pune,358.2,3.7,14,20,Weekday,34
FD10763,C1063,Food Junction,Indian,2025-01-29,Pune,560.61,5.0,35,34,Weekday,69
FD10397,C1047,Food Junction,Indian,2025-01-29,Pune,329.81,4.0,20,26,Weekday,46
FD10768,C1068,Pizza Point,Italian,2025-01-29,Hyderabad,712.48,4.4,18,39,Weekday,57
FD10291,C1291,Food Junction,Indian,2025-01-29,Mumbai,421.56,3.8,22,17,Weekday,39
FD10656,C1306,Green Bowl,Healthy,2025-01-29,Delhi,611.92,4.3,13,34,Weekday,47
FD10567,C1217,South Express,South Indian,2025-01-29,Delhi,481.34,3.7,19,40,Weekday,59
FD10786,C1086,Punjabi Zaika,North Indian,2025-01-29,Hyderabad,208.3,4.1,23,22,Weekday,45
FD10102,C1102,South Express,South Indian,2025-01-30,Chennai,667.48,4.2,31,18,Weekday,49
FD10294,C1294,Pizza Point,Italian,2025-01-30,Chennai,576.86,4.5,35,31,Weekday,66
FD10213,C1213,South Express,South Indian,2025-01-31,Delhi,516.86,4.5,32,31,Weekday,63
FD10012,C1012,Burger Town,Fast Food,2025-01-31,Pune,308.95,4.5,10,32,Weekday,42
FD10422,C1072,Urban Tadka,Indian,2025-01-31,Mumbai,434.0,4.5,33,32,Weekday,65
FD10714,C1014,The Biryani House,Biryani,2025-01-31,Mumbai,991.91,4.4,11,32,Weekday,43
FD10509,C1159,Spice Hub,Indian,2025-02-01,Mumbai,405.87,4.9,14,35,Weekend,49
FD10955,C1255,Sweet Treats,Desserts,2025-02-01,Pune,246.09,3.9,28,27,Weekend,55
FD10790,C1090,South Express,South Indian,2025-02-01,Pune,557.69,4.4,14,19,Weekend,33
FD10315,C1315,Burger Town,Fast Food,2025-02-01,Bangalore,695.64,3.3,19,30,Weekend,49
FD10121,C1121,Punjabi Zaika,North Indian,2025-02-01,Pune,1069.48,4.4,28,27,Weekend,55
FD10864,C1164,Green Bowl,Healthy,2025-02-01,Pune,667.52,4.6,28,24,Weekend,52
FD10289,C1289,Sweet Treats,Desserts,2025-02-01,Delhi,578.74,3.9,16,37,Weekend,53
FD10322,C1322,Food Junction,Indian,2025-02-01,Bangalore,230.74,3.5,15,41,Weekend,56
FD10342,C1342,Cafe Aroma,Cafe,2025-02-01,Delhi,382.98,4.6,23,22,Weekend,45
FD10867,C1167,Green Bowl,Healthy,2025-02-02,Delhi,398.84,3.8,32,31,Weekend,63
FD10152,C1152,Sweet Treats,Desserts,2025-02-02,Pune,138.59,4.4,23,17,Weekend,40
FD10770,C1070,Burger Town,Fast Food,2025-02-02,Mumbai,371.15,3.7,35,36,Weekend,71
FD10459,C1109,Food Junction,Indian,2025-02-02,Hyderabad,1199.52,3.9,19,22,Weekend,41
FD10690,C1340,South Express,South Indian,2025-02-02,Delhi,583.36,4.0,25,45,Weekend,70
FD10890,C1190,Burger Town,Fast Food,2025-02-02,Mumbai,771.84,3.7,31,32,Weekend,63
FD10145,C1145,Green Bowl,Healthy,2025-02-02,Hyderabad,600.38,4.1,18,46,Weekend,64
FD10557,C1207,South Express,South Indian,2025-02-03,Pune,380.95,4.4,30,40,Weekday,70
FD10410,C1060,Food Junction,Indian,2025-02-03,Delhi,426.87,5.0,13,29,Weekday,42
FD10338,C1338,Spice Hub,Indian,2025-02-04,Mumbai,317.72,3.6,22,18,Weekday,40
FD10968,C1268,The Biryani House,Biryani,2025-02-04,Mumbai,778.83,4.4,11,33,Weekday,44
FD10089,C1089,Burger Town,Fast Food,2025-02-04,Chennai,903.86,4.6,28,17,Weekday,45
FD10475,C1125,Sweet Treats,Desserts,2025-02-04,Chennai,306.56,3.9,26,23,Weekday,49
FD10103,C1103,Punjabi Zaika,North Indian,2025-02-04,Hyderabad,389.1,3.9,27,35,Weekday,62
FD10245,C1245,Burger Town,Fast Food,2025-02-04,Bangalore,1019.2,3.9,14,32,Weekday,46
FD10014,C1014,The Biryani House,Biryani,2025-02-05,Hyderabad,492.02,3.9,24,29,Weekday,53
FD10440,C1090,Cafe Aroma,Cafe,2025-02-05,Bangalore,763.29,4.7,15,23,Weekday,38
FD10460,C1110,Sweet Treats,Desserts,2025-02-05,Mumbai,450.64,4.1,27,22,Weekday,49
FD10181,C1181,Sweet Treats,Desserts,2025-02-05,Pune,610.1,4.4,35,30,Weekday,65
FD10360,C1010,The Biryani House,Biryani,2025-02-05,Delhi,987.74,3.8,35,39,Weekday,74
FD10539,C1189,Spice Hub,Indian,2025-02-06,Hyderabad,779.09,3.8,30,29,Weekday,59
FD10673,C1323,Urban Tadka,Indian,2025-02-06,Mumbai,669.81,4.0,16,33,Weekday,49
FD10961,C1261,Cafe Aroma,Cafe,2025-02-06,Mumbai,468.32,3.5,32,24,Weekday,56
FD10208,C1208,Spice Hub,Indian,2025-02-06,Delhi,423.41,3.6,27,26,Weekday,53
FD10978,C1278,Spice Hub,Indian,2025-02-06,Chennai,442.85,4.3,12,26,Weekday,38
FD10048,C1048,Pizza Point,Italian,2025-02-06,Pune,496.56,3.6,25,32,Weekday,57
FD10747,C1047,Punjabi Zaika,North Indian,2025-02-06,Hyderabad,918.46,3.4,18,27,Weekday,45
FD10586,C1236,The Biryani House,Biryani,2025-02-06,Pune,1200.0,4.2,26,21,Weekday,47
FD10373,C1023,Spice Hub,Indian,2025-02-06,Hyderabad,669.53,4.4,23,39,Weekday,62
FD10596,C1246,South Express,South Indian,2025-02-06,Mumbai,743.73,4.6,24,44,Weekday,68
FD10400,C1050,Burger Town,Fast Food,2025-02-06,Delhi,495.6,4.1,12,31,Weekday,43
FD10149,C1149,Punjabi Zaika,North Indian,2025-02-07,Mumbai,572.77,5.0,28,35,Weekday,63
FD10075,C1075,Cafe Aroma,Cafe,2025-02-07,Hyderabad,221.54,4.2,24,34,Weekday,58
FD10161,C1161,Wok & Roll,Chinese,2025-02-07,Chennai,416.82,3.5,21,27,Weekday,48
FD10250,C1250,Cafe Aroma,Cafe,2025-02-07,Pune,1186.35,4.8,21,42,Weekday,63
FD10667,C1317,South Express,South Indian,2025-02-07,Pune,675.92,4.6,21,28,Weekday,49
FD10047,C1047,South Express,South Indian,2025-02-07,Mumbai,853.21,4.3,30,38,Weekday,68
FD10190,C1190,Punjabi Zaika,North Indian,2025-02-07,Hyderabad,501.91,4.8,28,40,Weekday,68
FD10722,C1022,Cafe Aroma,Cafe,2025-02-08,Hyderabad,270.24,4.6,17,31,Weekend,48
FD10729,C1029,Burger Town,Fast Food,2025-02-08,Mumbai,318.28,3.8,12,38,Weekend,50
FD10565,C1215,Urban Tadka,Indian,2025-02-08,Chennai,283.86,3.2,24,36,Weekend,60
FD10997,C1297,Pizza Point,Italian,2025-02-08,Delhi,375.76,3.6,30,15,Weekend,45
FD10135,C1135,Burger Town,Fast Food,2025-02-08,Chennai,326.85,3.3,31,37,Weekend,68
FD10783,C1083,Spice Hub,Indian,2025-02-08,Bangalore,1200.0,4.2,31,43,Weekend,74
FD10543,C1193,Pizza Point,Italian,2025-02-08,Bangalore,814.28,4.0,32,15,Weekend,47
FD10600,C1250,Spice Hub,Indian,2025-02-08,Mumbai,1105.56,4.5,25,25,Weekend,50
FD10474,C1124,Punjabi Zaika,North Indian,2025-02-08,Hyderabad,932.25,4.1,20,28,Weekend,48
FD10118,C1118,Green Bowl,Healthy,2025-02-08,Bangalore,406.47,5.0,28,33,Weekend,61
FD10450,C1100,Pizza Point,Italian,2025-02-08,Mumbai,778.25,3.3,14,34,Weekend,48
FD10466,C1116,Sweet Treats,Desserts,2025-02-09,Bangalore,473.65,4.0,19,25,Weekend,44
FD10391,C1041,Food Junction,Indian,2025-02-09,Pune,734.98,5.0,25,15,Weekend,40
FD10116,C1116,Wok & Roll,Chinese,2025-02-09,Mumbai,1200.0,4.5,26,25,Weekend,51
FD10688,C1338,Burger Town,Fast Food,2025-02-09,Pune,658.53,3.9,26,29,Weekend,55
FD10679,C1329,Green Bowl,Healthy,2025-02-09,Delhi,928.47,4.1,30,25,Weekend,55
FD10686,C1336,The Biryani House,Biryani,2025-02-09,Pune,243.9,4.8,11,25,Weekend,36
FD10218,C1218,Spice Hub,Indian,2025-02-09,Delhi,813.85,4.3,31,31,Weekend,62
FD10013,C1013,Pizza Point,Italian,2025-02-09,Pune,264.79,4.4,10,21,Weekend,31
FD10091,C1091,Food Junction,Indian,2025-02-09,Pune,767.9,4.1,16,41,Weekend,57
FD10446,C1096,Pizza Point,Italian,2025-02-09,Pune,688.96,3.9,11,27,Weekend,38
FD10662,C1312,Burger Town,Fast Food,2025-02-09,Pune,1001.26,3.6,20,41,Weekend,61
FD10408,C1058,Green Bowl,Healthy,2025-02-10,Mumbai,408.69,3.8,24,43,Weekday,67
FD10938,C1238,Green Bowl,Healthy,2025-02-10,Mumbai,890.84,4.4,31,18,Weekday,49
FD10219,C1219,Burger Town,Fast Food,2025-02-10,Mumbai,763.86,3.9,34,27,Weekday,61
FD10874,C1174,Cafe Aroma,Cafe,2025-02-10,Bangalore,313.35,4.3,15,29,Weekday,44
FD10917,C1217,Green Bowl,Healthy,2025-02-10,Delhi,597.39,3.9,21,36,Weekday,57
FD10141,C1141,Pizza Point,Italian,2025-02-11,Chennai,722.05,3.7,22,21,Weekday,43
FD10113,C1113,Urban Tadka,Indian,2025-02-11,Pune,584.2,4.6,28,28,Weekday,56
FD10472,C1122,Pizza Point,Italian,2025-02-11,Pune,319.09,4.5,19,31,Weekday,50
FD10406,C1056,Green Bowl,Healthy,2025-02-11,Bangalore,204.97,2.5,14,19,Weekday,33
FD10183,C1183,South Express,South Indian,2025-02-12,Pune,328.56,3.4,31,23,Weekday,54
FD10957,C1257,South Express,South Indian,2025-02-13,Delhi,346.03,3.5,16,20,Weekday,36
FD10485,C1135,Pizza Point,Italian,2025-02-13,Mumbai,619.19,4.7,12,25,Weekday,37
FD10032,C1032,Punjabi Zaika,North Indian,2025-02-13,Bangalore,1200.0,4.1,34,52,Weekday,86
FD10536,C1186,Food Junction,Indian,2025-02-14,Bangalore,1200.0,5.0,20,42,Weekday,62
FD10712,C1012,Urban Tadka,Indian,2025-02-14,Chennai,566.68,4.4,19,23,Weekday,42
FD10946,C1246,Sweet Treats,Desserts,2025-02-14,Mumbai,575.52,3.8,25,32,Weekday,57
FD10680,C1330,Urban Tadka,Indian,2025-02-14,Pune,791.49,3.7,28,44,Weekday,72
FD10866,C1166,Spice Hub,Indian,2025-02-14,Mumbai,571.07,4.2,31,23,Weekday,54
FD10703,C1003,Green Bowl,Healthy,2025-02-14,Bangalore,174.81,4.2,24,49,Weekday,73
FD10731,C1031,Sweet Treats,Desserts,2025-02-15,Pune,487.1,3.1,26,37,Weekend,63
FD10878,C1178,Wok & Roll,Chinese,2025-02-15,Chennai,518.7,4.2,22,27,Weekend,49
FD10602,C1252,The Biryani House,Biryani,2025-02-15,Bangalore,703.26,4.1,19,39,Weekend,58
FD10344,C1344,Cafe Aroma,Cafe,2025-02-15,Mumbai,1163.19,4.7,17,33,Weekend,50
FD10195,C1195,Wok & Roll,Chinese,2025-02-15,Delhi,906.88,4.5,35,18,Weekend,53
